Column Name,Description,Type
StateAbbr,State abbreviation,Plain Text
StateDesc,State name,Plain Text
CountyName,County name,Plain Text
CountyFIPS,County FIPS code,Plain Text
TotalPopulation,2019 Population Estimate,Number
ACCESS2_CrudePrev,"Model-based estimate for crude prevalence of current lack of health insurance among adults aged 18-64 years, 2019",Number
ACCESS2_Crude95CI,Estimated confidence interval for crude prevalence of current lack of health insurance among adults aged 18 - 64 years,Plain Text
ACCESS2_AdjPrev,"Model-based estimate for age-adjusted prevalence of current lack of health insurance among adults aged 18-64 years, 2019",Number
ACCESS2_Adj95CI,Estimated confidence interval for age-adjusted prevalence of current lack of health insurance among adults aged 18-64 years,Plain Text
ARTHRITIS_CrudePrev,"Model-based estimate for crude prevalence of arthritis among adults aged >=18 years, 2019",Number
ARTHRITIS_Crude95CI,Estimated confidence interval for crude prevalence of arthritis among adults aged ?18 years,Plain Text
ARTHRITIS_AdjPrev,"Model-based estimate for age-adjusted prevalence of arthritis among adults aged >=18 years, 2019",Number
ARTHRITIS_Adj95CI,Estimated confidence interval for age-adjusted prevalence estimate of arthritis among adults aged ?18 years,Plain Text
BINGE_CrudePrev,"Model-based estimate for crude prevalence of binge drinking among adults aged >=18 years, 2019",Number
BINGE_Crude95CI,Estimated confidence interval for crude prevalence of binge drinking among adults aged >=18 years,Plain Text
BINGE_AdjPrev,"Model-based estimate for age-adjusted prevalence of binge drinking among adults aged >=18 years, 2019",Number
BINGE_Adj95CI,Estimated confidence interval for age-adjusted prevalence of binge drinking among adults aged ?18 years,Plain Text
BPHIGH_CrudePrev,"Model-based estimate for crude prevalence of high blood pressure among adults aged >=18 years, 2019",Number
BPHIGH_Crude95CI,Estimated confidence interval for crude prevalence of high blood pressure among adults aged >=18 years,Plain Text
BPHIGH_AdjPrev,"Model-based estimate for age-adjusted prevalence of high blood pressure among adults aged >=18 years, 2019",Number
BPHIGH_Adj95CI,Estimated confidence interval for age-adjusted prevalence of high blood pressure among adults aged >=18 years,Plain Text
BPMED_CrudePrev,"Model-based estimate for crude prevalence of taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure, 2019",Number
BPMED_Crude95CI,Estimated confidence interval for crude prevalence of taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Plain Text
BPMED_AdjPrev,"Model-based estimate for age-adjusted prevalence of taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure, 2019",Number
